author,title,rating,description,source,buy_link
"Adrian Conan Doyle, John Dickson Carr",The Exploits of Sherlock Holmes,4.4,"Book by Adrian Conan Doyle, John Dickson Carr",goodbooks,https://www.amazon.in/s?k=The+Exploits+of+Sherlock+Holmes
Anna Quindlen,One True Thing,4.01,Book by Anna Quindlen,goodbooks,https://www.amazon.in/s?k=One+True+Thing
"Elena Ferrante, Ann Goldstein",Those Who Leave and Those Who Stay (The Neapolitan Novels #3),4.29,"Book by Elena Ferrante, Ann Goldstein",goodbooks,https://www.amazon.in/s?k=Those+Who+Leave+and+Those+Who+Stay+(The+Neapolitan+Novels+#3)
Trudi Canavan,"The Novice (Black Magician Trilogy, #2)",4.07,Book by Trudi Canavan,goodbooks,"https://www.amazon.in/s?k=The+Novice+(Black+Magician+Trilogy,+#2)"
Joshua Ferris,Then We Came to the End,3.45,Book by Joshua Ferris,goodbooks,https://www.amazon.in/s?k=Then+We+Came+to+the+End
Monica  Murphy,"One Week Girlfriend (One Week Girlfriend, #1)",3.94,Book by Monica  Murphy,goodbooks,"https://www.amazon.in/s?k=One+Week+Girlfriend+(One+Week+Girlfriend,+#1)"
Robin Hobb,"Ship of Destiny (Liveship Traders, #3)",4.21,Book by Robin Hobb,goodbooks,"https://www.amazon.in/s?k=Ship+of+Destiny+(Liveship+Traders,+#3)"
Maeve Binchy,A Week in Winter,3.79,Book by Maeve Binchy,goodbooks,https://www.amazon.in/s?k=A+Week+in+Winter
John Grisham,Calico Joe,3.8,Book by John Grisham,goodbooks,https://www.amazon.in/s?k=Calico+Joe
"Hisaya Nakajo, David Ury","Hana-Kimi, Vol. 1 (Hana-Kimi, #1)",4.16,"Book by Hisaya Nakajo, David Ury",goodbooks,"https://www.amazon.in/s?k=Hana-Kimi,+Vol.+1+(Hana-Kimi,+#1)"
Juliet Marillier,"Daughter of the Forest  (Sevenwaters, #1)",4.28,Book by Juliet Marillier,goodbooks,"https://www.amazon.in/s?k=Daughter+of+the+Forest+(Sevenwaters,+#1)"
Eric Carle,The Very Busy Spider,4.19,Book by Eric Carle,goodbooks,https://www.amazon.in/s?k=The+Very+Busy+Spider
Judy Blume,Freckle Juice,3.82,Book by Judy Blume,goodbooks,https://www.amazon.in/s?k=Freckle+Juice
Seth Godin,Linchpin: Are You Indispensable?,3.87,Book by Seth Godin,goodbooks,https://www.amazon.in/s?k=Linchpin:+Are+You+Indispensable?
Rudyard Kipling,Just So Stories,4.09,Book by Rudyard Kipling,goodbooks,https://www.amazon.in/s?k=Just+So+Stories
Candice Millard,The River of Doubt: Theodore Roosevelt's Darkest Journey,4.16,Book by Candice Millard,goodbooks,https://www.amazon.in/s?k=The+River+of+Doubt:+Theodore+Roosevelt's+Darkest+Journey
"Atul Gawande, Susanne Kuhlmann-Krieg",Complications: A Surgeon's Notes on an Imperfect Science,4.23,"Book by Atul Gawande, Susanne Kuhlmann-Krieg",goodbooks,https://www.amazon.in/s?k=Complications:+A+Surgeon's+Notes+on+an+Imperfect+Science
Jim Butcher,"Side Jobs: Stories from the Dresden Files (The Dresden Files, #12.5)",4.23,Book by Jim Butcher,goodbooks,"https://www.amazon.in/s?k=Side+Jobs:+Stories+from+the+Dresden+Files+(The+Dresden+Files,+#12.5)"
"Roland Barthes, Richard Howard",Camera Lucida: Reflections on Photography,3.92,"Book by Roland Barthes, Richard Howard",goodbooks,https://www.amazon.in/s?k=Camera+Lucida:+Reflections+on+Photography
Amy Tan,The Hundred Secret Senses,3.98,Book by Amy Tan,goodbooks,https://www.amazon.in/s?k=The+Hundred+Secret+Senses
Mary Kubica,Pretty Baby,3.75,Book by Mary Kubica,goodbooks,https://www.amazon.in/s?k=Pretty+Baby
Andrew Davidson,The Gargoyle,3.96,Book by Andrew Davidson,goodbooks,https://www.amazon.in/s?k=The+Gargoyle
Neal Stephenson,"Quicksilver (The Baroque Cycle, #1)",3.92,Book by Neal Stephenson,goodbooks,"https://www.amazon.in/s?k=Quicksilver+(The+Baroque+Cycle,+#1)"
"Elizabeth  Smart, Chris Stewart",My Story,3.77,"Book by Elizabeth  Smart, Chris Stewart",goodbooks,https://www.amazon.in/s?k=My+Story
"Michael Buckley, Peter Ferguson","The Fairy-Tale Detectives (The Sisters Grimm, #1)",4.01,"Book by Michael Buckley, Peter Ferguson",goodbooks,"https://www.amazon.in/s?k=The+Fairy-Tale+Detectives+(The+Sisters+Grimm,+#1)"
"Terry Pratchett, Stephen Briggs",Mort: The Play,4.29,"Book by Terry Pratchett, Stephen Briggs",goodbooks,https://www.amazon.in/s?k=Mort:+The+Play
Caragh M. O'Brien,"Birthmarked (Birthmarked, #1)",3.89,Book by Caragh M. O'Brien,goodbooks,"https://www.amazon.in/s?k=Birthmarked+(Birthmarked,+#1)"
"Derek Landy, Tom Percival","Skulduggery Pleasant (Skulduggery Pleasant, #1)",4.21,"Book by Derek Landy, Tom Percival",goodbooks,"https://www.amazon.in/s?k=Skulduggery+Pleasant+(Skulduggery+Pleasant,+#1)"
Andy Warhol,The Philosophy of Andy Warhol (From A to B and Back Again),3.77,Book by Andy Warhol,goodbooks,https://www.amazon.in/s?k=The+Philosophy+of+Andy+Warhol+(From+A+to+B+and+Back+Again)
Vladimir Nabokov,Pale Fire,4.19,Book by Vladimir Nabokov,goodbooks,https://www.amazon.in/s?k=Pale+Fire
Tracy Chevalier,The Lady and the Unicorn,3.67,Book by Tracy Chevalier,goodbooks,https://www.amazon.in/s?k=The+Lady+and+the+Unicorn
"Charles Dickens, Michael Slater",A Christmas Carol and Other Christmas Writings,4.13,"Book by Charles Dickens, Michael Slater",goodbooks,https://www.amazon.in/s?k=A+Christmas+Carol+and+Other+Christmas+Writings
B.J. Novak,One More Thing: Stories and Other Stories,3.66,Book by B.J. Novak,goodbooks,https://www.amazon.in/s?k=One+More+Thing:+Stories+and+Other+Stories
"Terry Pratchett, Stephen Briggs",Men at Arms: The Play,4.39,"Book by Terry Pratchett, Stephen Briggs",goodbooks,https://www.amazon.in/s?k=Men+at+Arms:+The+Play
Rachel Caine,"Carpe Corpus (The Morganville Vampires, #6)",4.21,Book by Rachel Caine,goodbooks,"https://www.amazon.in/s?k=Carpe+Corpus+(The+Morganville+Vampires,+#6)"
Nathan Filer,The Shock of the Fall,3.79,Book by Nathan Filer,goodbooks,https://www.amazon.in/s?k=The+Shock+of+the+Fall
Madeleine Roux,"Asylum (Asylum, #1)",3.64,Book by Madeleine Roux,goodbooks,"https://www.amazon.in/s?k=Asylum+(Asylum,+#1)"
Margaret Atwood,The Heart Goes Last,3.37,Book by Margaret Atwood,goodbooks,https://www.amazon.in/s?k=The+Heart+Goes+Last
Kim Harrison,"A Fistful of Charms (The Hollows, #4)",4.28,Book by Kim Harrison,goodbooks,"https://www.amazon.in/s?k=A+Fistful+of+Charms+(The+Hollows,+#4)"
John Piper,Desiring God: Meditations of a Christian Hedonist,4.19,Book by John Piper,goodbooks,https://www.amazon.in/s?k=Desiring+God:+Meditations+of+a+Christian+Hedonist
Holly Black,The Coldest Girl in Coldtown,3.86,Book by Holly Black,goodbooks,https://www.amazon.in/s?k=The+Coldest+Girl+in+Coldtown
Carl Hiaasen,Skinny Dip,3.79,Book by Carl Hiaasen,goodbooks,https://www.amazon.in/s?k=Skinny+Dip
Alice Hoffman,The Marriage of Opposites,3.86,Book by Alice Hoffman,goodbooks,https://www.amazon.in/s?k=The+Marriage+of+Opposites
Jonah Lehrer,Imagine: How Creativity Works,3.75,Book by Jonah Lehrer,goodbooks,https://www.amazon.in/s?k=Imagine:+How+Creativity+Works
Rachel Caine,"Feast of Fools (The Morganville Vampires, #4)",4.17,Book by Rachel Caine,goodbooks,"https://www.amazon.in/s?k=Feast+of+Fools+(The+Morganville+Vampires,+#4)"
Neal Shusterman,"UnWholly (Unwind, #2)",4.25,Book by Neal Shusterman,goodbooks,"https://www.amazon.in/s?k=UnWholly+(Unwind,+#2)"
David Foster Wallace,Consider the Lobster and Other Essays,4.25,Book by David Foster Wallace,goodbooks,https://www.amazon.in/s?k=Consider+the+Lobster+and+Other+Essays
Eoin Colfer,"The Atlantis Complex (Artemis Fowl, #7)",3.97,Book by Eoin Colfer,goodbooks,"https://www.amazon.in/s?k=The+Atlantis+Complex+(Artemis+Fowl,+#7)"
Anne Rice,Merrick (The Vampire Chronicles #7),3.71,Book by Anne Rice,goodbooks,https://www.amazon.in/s?k=Merrick+(The+Vampire+Chronicles+#7)
Brandon Sanderson,"The Bands of Mourning (Mistborn, #6)",4.45,Book by Brandon Sanderson,goodbooks,"https://www.amazon.in/s?k=The+Bands+of+Mourning+(Mistborn,+#6)"
"Albert Camus, Justin O'Brien",The Myth of Sisyphus and Other Essays,4.18,"Book by Albert Camus, Justin O'Brien",goodbooks,https://www.amazon.in/s?k=The+Myth+of+Sisyphus+and+Other+Essays
Lauren Graham,"Someday, Someday, Maybe",3.49,Book by Lauren Graham,goodbooks,"https://www.amazon.in/s?k=Someday,+Someday,+Maybe"
Robert Frost,The Road Not Taken and Other Poems,4.27,Book by Robert Frost,goodbooks,https://www.amazon.in/s?k=The+Road+Not+Taken+and+Other+Poems
Becky Albertalli,Simon vs. the Homo Sapiens Agenda,4.26,Book by Becky Albertalli,goodbooks,https://www.amazon.in/s?k=Simon+vs.+the+Homo+Sapiens+Agenda
"Elizabeth Gaskell, Pam Morris",Wives and Daughters,4.07,"Book by Elizabeth Gaskell, Pam Morris",goodbooks,https://www.amazon.in/s?k=Wives+and+Daughters
A.G. Howard,"Splintered (Splintered, #1)",3.96,Book by A.G. Howard,goodbooks,"https://www.amazon.in/s?k=Splintered+(Splintered,+#1)"
Virginia Lee Burton,The Little House,4.29,Book by Virginia Lee Burton,goodbooks,https://www.amazon.in/s?k=The+Little+House
"Primo Levi, Stuart J. Woolf, Philip Roth",Survival in Auschwitz,4.28,"Book by Primo Levi, Stuart J. Woolf, Philip Roth",goodbooks,https://www.amazon.in/s?k=Survival+in+Auschwitz
Cinda Williams Chima,"The Wizard Heir (The Heir Chronicles, #2)",4.14,Book by Cinda Williams Chima,goodbooks,"https://www.amazon.in/s?k=The+Wizard+Heir+(The+Heir+Chronicles,+#2)"
"Jules Verne, Caleb Carr, Jordan Stump","The Mysterious Island (Extraordinary Voyages, #12)",4.08,"Book by Jules Verne, Caleb Carr, Jordan Stump",goodbooks,"https://www.amazon.in/s?k=The+Mysterious+Island+(Extraordinary+Voyages,+#12)"
Susan Vreeland,Girl in Hyacinth Blue,3.72,Book by Susan Vreeland,goodbooks,https://www.amazon.in/s?k=Girl+in+Hyacinth+Blue
William Steig,Sylvester and the Magic Pebble,4.14,Book by William Steig,goodbooks,https://www.amazon.in/s?k=Sylvester+and+the+Magic+Pebble
Philippa Gregory,"The Lady of the Rivers (The Plantagenet and Tudor Novels, #1)",3.96,Book by Philippa Gregory,goodbooks,"https://www.amazon.in/s?k=The+Lady+of+the+Rivers+(The+Plantagenet+and+Tudor+Novels,+#1)"
Harlan Coben,Live Wire (Myron Bolitar #10),4.07,Book by Harlan Coben,goodbooks,https://www.amazon.in/s?k=Live+Wire+(Myron+Bolitar+#10)
"Carolyn Jessop, Laura Palmer",Escape,3.96,"Book by Carolyn Jessop, Laura Palmer",goodbooks,https://www.amazon.in/s?k=Escape
David Baldacci,"The Collectors (Camel Club, #2)",4.01,Book by David Baldacci,goodbooks,"https://www.amazon.in/s?k=The+Collectors+(Camel+Club,+#2)"
Douglas Adams,The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,4.51,Book by Douglas Adams,goodbooks,https://www.amazon.in/s?k=The+Hitchhiker's+Guide+to+the+Galaxy:+A+Trilogy+in+Four+Parts
Terry Pratchett,"Maskerade (Discworld, #18; Witches #5)",4.06,Book by Terry Pratchett,goodbooks,"https://www.amazon.in/s?k=Maskerade+(Discworld,+#18;+Witches+#5)"
Stephen R. Donaldson,"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, #1)",3.71,Book by Stephen R. Donaldson,goodbooks,"https://www.amazon.in/s?k=Lord+Foul's+Bane+(The+Chronicles+of+Thomas+Covenant+the+Unbeliever,+#1)"
"Marcus Buckingham, Curt Coffman","First, Break All the Rules: What the World's Greatest Managers Do Differently",3.92,"Book by Marcus Buckingham, Curt Coffman",goodbooks,"https://www.amazon.in/s?k=First,+Break+All+the+Rules:+What+the+World's+Greatest+Managers+Do+Differently"
Terry Pratchett,"The Last Continent (Discworld, #22; Rincewind #6)",3.99,Book by Terry Pratchett,goodbooks,"https://www.amazon.in/s?k=The+Last+Continent+(Discworld,+#22;+Rincewind+#6)"
Dr. Seuss,Dr. Seuss's ABC: An Amazing Alphabet Book! (Bright and Early Board Books),4.07,Book by Dr. Seuss,goodbooks,https://www.amazon.in/s?k=Dr.+Seuss's+ABC:+An+Amazing+Alphabet+Book!+(Bright+and+Early+Board+Books)
"Thornton Wilder, Donald Margulies, Tappan Wilder",Our Town,3.63,"Book by Thornton Wilder, Donald Margulies, Tappan Wilder",goodbooks,https://www.amazon.in/s?k=Our+Town
Sara Shepard,"Heartless (Pretty Little Liars, #7)",4.1,Book by Sara Shepard,goodbooks,"https://www.amazon.in/s?k=Heartless+(Pretty+Little+Liars,+#7)"
Michael Connelly,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #14)",4.07,Book by Michael Connelly,goodbooks,"https://www.amazon.in/s?k=Echo+Park+(Harry+Bosch,+#12;+Harry+Bosch+Universe,+#14)"
David Baldacci,The Winner,4.06,Book by David Baldacci,goodbooks,https://www.amazon.in/s?k=The+Winner
Emily Carroll,Through the Woods,3.92,Book by Emily Carroll,goodbooks,https://www.amazon.in/s?k=Through+the+Woods
Anthony Horowitz,"Ark Angel (Alex Rider, #6)",4.11,Book by Anthony Horowitz,goodbooks,"https://www.amazon.in/s?k=Ark+Angel+(Alex+Rider,+#6)"
Michael Ende,Momo,4.29,Book by Michael Ende,goodbooks,https://www.amazon.in/s?k=Momo
Blake Crouch,"The Last Town (Wayward Pines, #3)",4.09,Book by Blake Crouch,goodbooks,"https://www.amazon.in/s?k=The+Last+Town+(Wayward+Pines,+#3)"
Sarah Dessen,Saint Anything,4.05,Book by Sarah Dessen,goodbooks,https://www.amazon.in/s?k=Saint+Anything
Ayana Mathis,The Twelve Tribes of Hattie,3.46,Book by Ayana Mathis,goodbooks,https://www.amazon.in/s?k=The+Twelve+Tribes+of+Hattie
Dean Koontz,The Taking,3.78,Book by Dean Koontz,goodbooks,https://www.amazon.in/s?k=The+Taking
V.C. Andrews,"If There Be Thorns (Dollanganger, #3)",3.75,Book by V.C. Andrews,goodbooks,"https://www.amazon.in/s?k=If+There+Be+Thorns+(Dollanganger,+#3)"
"Jane Yolen, John Schoenherr",Owl Moon,4.2,"Book by Jane Yolen, John Schoenherr",goodbooks,https://www.amazon.in/s?k=Owl+Moon
"Fyodor Dostoyevsky, Constance Garnett, Gary Saul Morson",The Gambler,3.88,"Book by Fyodor Dostoyevsky, Constance Garnett, Gary Saul Morson",goodbooks,https://www.amazon.in/s?k=The+Gambler
Patricia Briggs,"Frost Burned (Mercy Thompson, #7)",4.35,Book by Patricia Briggs,goodbooks,"https://www.amazon.in/s?k=Frost+Burned+(Mercy+Thompson,+#7)"
Honoré de Balzac,Père Goriot,3.82,Book by Honoré de Balzac,goodbooks,https://www.amazon.in/s?k=Père+Goriot
"Jo Nesbø, Don Bartlett","Nemesis (Harry Hole, #4)",3.98,"Book by Jo Nesbø, Don Bartlett",goodbooks,"https://www.amazon.in/s?k=Nemesis+(Harry+Hole,+#4)"
"Sylvia Plath, Ted Hughes",The Collected Poems,4.2,"Book by Sylvia Plath, Ted Hughes",goodbooks,https://www.amazon.in/s?k=The+Collected+Poems
Sherrilyn Kenyon,"Night Play (Dark-Hunter #5, Were-Hunter #1)",4.36,Book by Sherrilyn Kenyon,goodbooks,"https://www.amazon.in/s?k=Night+Play+(Dark-Hunter+#5,+Were-Hunter+#1)"
Paulo Coelho,Aleph,3.37,Book by Paulo Coelho,goodbooks,https://www.amazon.in/s?k=Aleph
R.L. Mathewson,"Perfection (Neighbor from Hell, #2)",4.16,Book by R.L. Mathewson,goodbooks,"https://www.amazon.in/s?k=Perfection+(Neighbor+from+Hell,+#2)"
Andrew Ross Sorkin,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,4.09,Book by Andrew Ross Sorkin,goodbooks,https://www.amazon.in/s?k=Too+Big+to+Fail:+The+Inside+Story+of+How+Wall+Street+and+Washington+Fought+to+Save+the+Financial+System+from+Crisis+—+and+Themselves
Kristin Hannah,Magic Hour,4.1,Book by Kristin Hannah,goodbooks,https://www.amazon.in/s?k=Magic+Hour
"John Steinbeck, Susan Shillinglaw",The Winter of Our Discontent,3.99,"Book by John Steinbeck, Susan Shillinglaw",goodbooks,https://www.amazon.in/s?k=The+Winter+of+Our+Discontent
William Faulkner,"Absalom, Absalom!",3.96,Book by William Faulkner,goodbooks,"https://www.amazon.in/s?k=Absalom,+Absalom!"
"Zoe Sugg, Siobhan Curham","Girl Online (Girl Online, #1)",3.77,"Book by Zoe Sugg, Siobhan Curham",goodbooks,"https://www.amazon.in/s?k=Girl+Online+(Girl+Online,+#1)"
Carol Ryrie Brink,Caddie Woodlawn  (Caddie Woodlawn #1),3.99,Book by Carol Ryrie Brink,goodbooks,https://www.amazon.in/s?k=Caddie+Woodlawn+(Caddie+Woodlawn+#1)
Janet Evanovich,"Tricky Twenty-Two (Stephanie Plum, #22)",3.92,Book by Janet Evanovich,goodbooks,"https://www.amazon.in/s?k=Tricky+Twenty-Two+(Stephanie+Plum,+#22)"
J.I. Packer,Knowing God,4.31,Book by J.I. Packer,goodbooks,https://www.amazon.in/s?k=Knowing+God
R.A. Salvatore,"The Halfling's Gem (Forgotten Realms: Icewind Dale, #3; Legend of Drizzt, #6)",4.15,Book by R.A. Salvatore,goodbooks,"https://www.amazon.in/s?k=The+Halfling's+Gem+(Forgotten+Realms:+Icewind+Dale,+#3;+Legend+of+Drizzt,+#6)"
Harlan Coben,Hold Tight,3.94,Book by Harlan Coben,goodbooks,https://www.amazon.in/s?k=Hold+Tight
"Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",The Kindly Ones (The Sandman #9),4.59,"Book by Neil Gaiman, Marc Hempel, Richard Case, D'Israeli, Teddy Kristiansen, Glyn Dillon, Charles Vess, Dean Ormston, Kevin Nowlan, Todd Klein, Frank McConnell",goodbooks,https://www.amazon.in/s?k=The+Kindly+Ones+(The+Sandman+#9)
"Neil Gaiman, Mike Allred, Gary Amaro, Mark Buckingham, David Giordano, Tony Harris, Steve Leialoha, Vince Locke, Shea Anton Pensa, Alec Stevens, Bryan Talbot, John Watkiss, Todd Klein, Michael Zulli, Stephen King",Worlds' End (The Sandman #8),4.48,"Book by Neil Gaiman, Mike Allred, Gary Amaro, Mark Buckingham, David Giordano, Tony Harris, Steve Leialoha, Vince Locke, Shea Anton Pensa, Alec Stevens, Bryan Talbot, John Watkiss, Todd Klein, Michael Zulli, Stephen King",goodbooks,https://www.amazon.in/s?k=Worlds'+End+(The+Sandman+#8)
John Wyndham,The Chrysalids,3.92,Book by John Wyndham,goodbooks,https://www.amazon.in/s?k=The+Chrysalids
"Hans Christian Andersen, Jerry Pinkney",The Ugly Duckling,4.1,"Book by Hans Christian Andersen, Jerry Pinkney",goodbooks,https://www.amazon.in/s?k=The+Ugly+Duckling
Miguel Ruiz,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,4.25,Book by Miguel Ruiz,goodbooks,https://www.amazon.in/s?k=The+Mastery+of+Love:+A+Practical+Guide+to+the+Art+of+Relationship+--Toltec+Wisdom+Book
"Graham Greene, Monica Ali",The End of the Affair,3.96,"Book by Graham Greene, Monica Ali",goodbooks,https://www.amazon.in/s?k=The+End+of+the+Affair
Jennifer Weiner,Who Do You Love,3.74,Book by Jennifer Weiner,goodbooks,https://www.amazon.in/s?k=Who+Do+You+Love
"Felix Salten, Barbara Cooney",Bambi,4.1,"Book by Felix Salten, Barbara Cooney",goodbooks,https://www.amazon.in/s?k=Bambi
Ursula K. Le Guin,The Lathe of Heaven,4.09,Book by Ursula K. Le Guin,goodbooks,https://www.amazon.in/s?k=The+Lathe+of+Heaven
"Herodotus, Aubrey de Sélincourt, John M. Marincola",The Histories,3.97,"Book by Herodotus, Aubrey de Sélincourt, John M. Marincola",goodbooks,https://www.amazon.in/s?k=The+Histories
K. Bromberg,"Driven (Driven, #1)",4.31,Book by K. Bromberg,goodbooks,"https://www.amazon.in/s?k=Driven+(Driven,+#1)"
Matthew Pearl,The Dante Club,3.38,Book by Matthew Pearl,goodbooks,https://www.amazon.in/s?k=The+Dante+Club
Jean M. Auel,"The Shelters of Stone (Earth's Children, #5)",3.8,Book by Jean M. Auel,goodbooks,"https://www.amazon.in/s?k=The+Shelters+of+Stone+(Earth's+Children,+#5)"
Patricia Briggs,"Hunting Ground (Alpha & Omega, #2)",4.27,Book by Patricia Briggs,goodbooks,"https://www.amazon.in/s?k=Hunting+Ground+(Alpha+&+Omega,+#2)"
Paulo Coelho,The Winner Stands Alone,3.37,Book by Paulo Coelho,goodbooks,https://www.amazon.in/s?k=The+Winner+Stands+Alone
James A. Michener,Centennial,4.21,Book by James A. Michener,goodbooks,https://www.amazon.in/s?k=Centennial
Kimberly Derting,"The Body Finder (The Body Finder, #1)",3.96,Book by Kimberly Derting,goodbooks,"https://www.amazon.in/s?k=The+Body+Finder+(The+Body+Finder,+#1)"
Ian McEwan,Enduring Love,3.62,Book by Ian McEwan,goodbooks,https://www.amazon.in/s?k=Enduring+Love
"Stephen R. Covey, A. Roger Merrill, Rebecca R. Merrill",First Things First,4.06,"Book by Stephen R. Covey, A. Roger Merrill, Rebecca R. Merrill",goodbooks,https://www.amazon.in/s?k=First+Things+First
Anne McCaffrey,"Dragonsong (Harper Hall, #1)",4.24,Book by Anne McCaffrey,goodbooks,"https://www.amazon.in/s?k=Dragonsong+(Harper+Hall,+#1)"
Nancy Garden,Annie on My Mind,3.97,Book by Nancy Garden,goodbooks,https://www.amazon.in/s?k=Annie+on+My+Mind
Michael Crichton,Pirate Latitudes,3.41,Book by Michael Crichton,goodbooks,https://www.amazon.in/s?k=Pirate+Latitudes
Jonathan Lethem,Motherless Brooklyn,3.91,Book by Jonathan Lethem,goodbooks,https://www.amazon.in/s?k=Motherless+Brooklyn
Malorie Blackman,"Noughts & Crosses (Noughts & Crosses, #1)",4.23,Book by Malorie Blackman,goodbooks,"https://www.amazon.in/s?k=Noughts+&+Crosses+(Noughts+&+Crosses,+#1)"
Harriet Jacobs,Incidents in the Life of a Slave Girl,4.08,Book by Harriet Jacobs,goodbooks,https://www.amazon.in/s?k=Incidents+in+the+Life+of+a+Slave+Girl
Michael Scott,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",4.24,Book by Michael Scott,goodbooks,"https://www.amazon.in/s?k=The+Enchantress+(The+Secrets+of+the+Immortal+Nicholas+Flamel,+#6)"
Ron Chernow,Washington: A Life,4.09,Book by Ron Chernow,goodbooks,https://www.amazon.in/s?k=Washington:+A+Life
Kristen Proby,"Come Away with Me (With Me in Seattle, #1)",3.94,Book by Kristen Proby,goodbooks,"https://www.amazon.in/s?k=Come+Away+with+Me+(With+Me+in+Seattle,+#1)"
T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,4.14,Book by T. Harv Eker,goodbooks,https://www.amazon.in/s?k=Secrets+of+the+Millionaire+Mind:+Mastering+the+Inner+Game+of+Wealth
C.C. Hunter,"Taken at Dusk (Shadow Falls, #3)",4.33,Book by C.C. Hunter,goodbooks,"https://www.amazon.in/s?k=Taken+at+Dusk+(Shadow+Falls,+#3)"
"Michael Chabon, Hans Hermann",Wonder Boys,3.93,"Book by Michael Chabon, Hans Hermann",goodbooks,https://www.amazon.in/s?k=Wonder+Boys
Molly McAdams,"Taking Chances (Taking Chances, #1)",3.87,Book by Molly McAdams,goodbooks,"https://www.amazon.in/s?k=Taking+Chances+(Taking+Chances,+#1)"
Julie Otsuka,The Buddha in the Attic,3.59,Book by Julie Otsuka,goodbooks,https://www.amazon.in/s?k=The+Buddha+in+the+Attic
Tom Robbins,Fierce Invalids Home from Hot Climates,4.01,Book by Tom Robbins,goodbooks,https://www.amazon.in/s?k=Fierce+Invalids+Home+from+Hot+Climates
Jennifer McMahon,The Winter People,3.76,Book by Jennifer McMahon,goodbooks,https://www.amazon.in/s?k=The+Winter+People
Sara Shepard,"The Lying Game (The Lying Game, #1)",3.96,Book by Sara Shepard,goodbooks,"https://www.amazon.in/s?k=The+Lying+Game+(The+Lying+Game,+#1)"
Tess Gerritsen,"Body Double (Rizzoli & Isles, #4)",4.16,Book by Tess Gerritsen,goodbooks,"https://www.amazon.in/s?k=Body+Double+(Rizzoli+&+Isles,+#4)"
Marina Keegan,The Opposite of Loneliness: Essays and Stories,3.82,Book by Marina Keegan,goodbooks,https://www.amazon.in/s?k=The+Opposite+of+Loneliness:+Essays+and+Stories
"Paolo Giordano, Shaun Whiteside",The Solitude of Prime Numbers,3.58,"Book by Paolo Giordano, Shaun Whiteside",goodbooks,https://www.amazon.in/s?k=The+Solitude+of+Prime+Numbers
Nicole  Williams,"Clash (Crash, #2)",4.17,Book by Nicole  Williams,goodbooks,"https://www.amazon.in/s?k=Clash+(Crash,+#2)"
"Neil Gaiman, Skottie Young","Fortunately, the Milk",4.04,"Book by Neil Gaiman, Skottie Young",goodbooks,"https://www.amazon.in/s?k=Fortunately,+the+Milk"
"G. Willow Wilson, Adrian Alphona","Ms. Marvel, Vol. 1: No Normal",4.13,"Book by G. Willow Wilson, Adrian Alphona",goodbooks,"https://www.amazon.in/s?k=Ms.+Marvel,+Vol.+1:+No+Normal"
Nalini Singh,Slave to Sensation (Psy-Changeling #1),4.12,Book by Nalini Singh,goodbooks,https://www.amazon.in/s?k=Slave+to+Sensation+(Psy-Changeling+#1)
أثير عبدالله النشمي,فلتغفري,3.5,Book by أثير عبدالله النشمي,goodbooks,https://www.amazon.in/s?k=فلتغفري
Gennifer Choldenko,"Al Capone Does My Shirts (Al Capone at Alcatraz, #1)",3.83,Book by Gennifer Choldenko,goodbooks,"https://www.amazon.in/s?k=Al+Capone+Does+My+Shirts+(Al+Capone+at+Alcatraz,+#1)"
"Guillermo del Toro, Chuck Hogan","The Fall (The Strain Trilogy, #2)",3.8,"Book by Guillermo del Toro, Chuck Hogan",goodbooks,"https://www.amazon.in/s?k=The+Fall+(The+Strain+Trilogy,+#2)"
Maggie Stiefvater,"The Raven King (The Raven Cycle, #4)",4.32,Book by Maggie Stiefvater,goodbooks,"https://www.amazon.in/s?k=The+Raven+King+(The+Raven+Cycle,+#4)"
"Pamela Druckerman, Abby Craden",Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting,3.95,"Book by Pamela Druckerman, Abby Craden",goodbooks,https://www.amazon.in/s?k=Bringing+Up+Bébé:+One+American+Mother+Discovers+the+Wisdom+of+French+Parenting
Patricia Cornwell,Portrait of a Killer: Jack the Ripper - Case Closed,3.44,Book by Patricia Cornwell,goodbooks,https://www.amazon.in/s?k=Portrait+of+a+Killer:+Jack+the+Ripper+-+Case+Closed
Megan Whalen Turner,"The Thief (The Queen's Thief, #1)",3.92,Book by Megan Whalen Turner,goodbooks,"https://www.amazon.in/s?k=The+Thief+(The+Queen's+Thief,+#1)"
Richelle Mead,"Succubus Blues (Georgina Kincaid, #1)",3.94,Book by Richelle Mead,goodbooks,"https://www.amazon.in/s?k=Succubus+Blues+(Georgina+Kincaid,+#1)"
